"fulldomain","b_fulldomain","category"
"ดุสิตวิทยา.th",NULL,"IDN"
"pcat.ac.th","วิทยาลัยเกษตรและเทคโนโลยีแพร่.ศึกษา.ไทย","AC"
"shopping.in.th",NULL,"IN"
"อาร์คิแกรม.th",NULL,"IDN"
"hass155.co.th",NULL,"CO"
"ultech.co.th",NULL,"CO"
"โซลูชั่นโซน.th",NULL,"IDN"
"startour.co.th","สตาร์ทัวร์.ธุรกิจ.ไทย","CO"
"jshome.co.th",NULL,"CO"
"เขมา.th",NULL,"IDN"
"คอนซัลท์.th",NULL,"IDN"
"thaibankmuseum.or.th",NULL,"OR"
"southpeace.go.th",NULL,"GO"
"ott.co.th",NULL,"CO"
"tateyama.co.th",NULL,"CO"
"tvt.in.th",NULL,"IN"
"utd.ac.th",NULL,"AC"
"statassoc.or.th",NULL,"OR"
"ประจักษ์และบุตร.th",NULL,"IDN"
"ไทยเคลฟเวอร์.th",NULL,"IDN"
"takahashispg.co.th",NULL,"CO"
"bigcamera.co.th",NULL,"CO"
"เทคโนโลยีวีรพัฒน์.th",NULL,"IDN"
"citic.co.th",NULL,"CO"
"tcels.or.th",NULL,"OR"
"ลิขสิทธิ์.th",NULL,"IDN"
"itf.co.th",NULL,"CO"
"kpaudit.co.th",NULL,"CO"
"santec.co.th",NULL,"CO"
"sanmiguel.co.th",NULL,"CO"
"rd.ac.th",NULL,"AC"
"parinayok.ac.th",NULL,"AC"
"sca.ac.th",NULL,"AC"
"tcmgroup.co.th",NULL,"CO"
"network-as.co.th",NULL,"CO"
"longyear.co.th",NULL,"CO"
"asko.co.th",NULL,"CO"
"bhl.co.th",NULL,"CO"
"metlife.co.th",NULL,"CO"
"adb.co.th",NULL,"CO"
"ubonrak.co.th",NULL,"CO"
"thaichori.co.th",NULL,"CO"
"โพลาร์สตาร์.th",NULL,"IDN"
"ดีไอดี.th",NULL,"IDN"
"เออร์เนท.th",NULL,"IDN"
"ไอออนิค.th",NULL,"IDN"
"พรพระนคร.th",NULL,"IDN"
"วิทยาลัยสารพัดช่างพระนครศรีอยุธยา.th",NULL,"IDN"
"เอลเมอร์.th",NULL,"IDN"
"irct.co.th",NULL,"CO"
"หอการค้ามาเลเซียไทย.th",NULL,"IDN"
"ศวส.th",NULL,"IDN"
"ออลเบสท์.th",NULL,"IDN"
"เยลโล.th",NULL,"IDN"
"สิชลคุณาธารวิทยา.th",NULL,"IDN"
"ดี.th",NULL,"IDN"
"แคลริส.th",NULL,"IDN"
"lighthouse.co.th",NULL,"CO"
"บนเส้น.th",NULL,"IDN"
"bcnsurin.ac.th","วิทยาลัยพยาบาลบรมราชชนนีสุรินทร์.ศึกษา.ไทย","AC"
"pts.ac.th",NULL,"AC"
"femtocom.co.th",NULL,"CO"
"biotech.co.th",NULL,"CO"
"skptc.ac.th",NULL,"AC"
"westernunion.co.th",NULL,"CO"
"ycc.ac.th",NULL,"AC"
"kessel.co.th",NULL,"CO"
"เทราซอฟต์.th",NULL,"IDN"
"ไอซิสเต็ม.th",NULL,"IDN"
"บางกอกอินโฟ.th",NULL,"IDN"
"วิทยาลัยพยาบาลจังหวัดนนทบุรี.th",NULL,"IDN"
"ซันซี.th",NULL,"IDN"
"green.co.th",NULL,"CO"
"ฮอบ.th",NULL,"IDN"
"thonglang.ac.th",NULL,"AC"
"ratchaprasong.or.th",NULL,"OR"
"kpsp.ac.th",NULL,"AC"
"เจมคาร์เอเซีย.th",NULL,"IDN"
"โนโวคอน.th",NULL,"IDN"
"ซากะ.th",NULL,"IDN"
"kinsen.co.th",NULL,"CO"
"ไบโอเมด.th",NULL,"IDN"
"แอทแวนเทจ.th",NULL,"IDN"
"โฟลคอน.th",NULL,"IDN"
"สมาคมแพทย์สตรี.th",NULL,"IDN"
"พีเอฟเอ็นอินเตอร์.th",NULL,"IDN"
"ไทยซินเนอร์จี้เวิร์คส์.th",NULL,"IDN"
"ups.in.th",NULL,"IN"
"เคซีอีไทย.th",NULL,"IDN"
"tbts.co.th",NULL,"CO"
"materialworld.co.th",NULL,"CO"
"nativesoft.co.th",NULL,"CO"
"ไอคอน.th",NULL,"IDN"
"v-inter.co.th",NULL,"CO"
"premruethai.ac.th",NULL,"AC"
"dplus.co.th",NULL,"CO"
"จีเอ็ม.th",NULL,"IDN"
"แพดด็อค.th",NULL,"IDN"
"จันทบุรี1.th",NULL,"IDN"
"bgac.co.th",NULL,"CO"
"sv-syndicate.co.th",NULL,"CO"
"ลานกระบือ.th",NULL,"IDN"
"อะคูสติก้ามิวสิค.th",NULL,"IDN"
"เล่น.th",NULL,"IDN"
"rep.co.th",NULL,"CO"
"wattananivej.ac.th",NULL,"AC"
"uob.co.th",NULL,"CO"
"use.co.th",NULL,"CO"
"อารียา.th",NULL,"IDN"
"qualitat.co.th","ควอลิแทต.ธุรกิจ.ไทย","CO"
"เซอร์พลัสเทคโนโลยี่.th",NULL,"IDN"
"daidosp.co.th",NULL,"CO"
"astronics.co.th",NULL,"CO"
"matrix.in.th",NULL,"IN"
"songland.co.th",NULL,"CO"
"แอสตรา.th",NULL,"IDN"
"แอ็คซิสคอมพิวเตอร์.th",NULL,"IDN"
"bcnyala.ac.th",NULL,"AC"
"ระยองวิทย์.th",NULL,"IDN"
"เอเบิลคอนซัลแตนท์.th",NULL,"IDN"
"เทศบาลนครนครสวรรค์.th",NULL,"IDN"
"mg.co.th",NULL,"CO"
"วิทยาลัยการอาชีพตระการพืชผล.th",NULL,"IDN"
"เพนต้ามารีน.th",NULL,"IDN"
"knet.co.th",NULL,"CO"
"dbs.in.th",NULL,"IN"
"dbsbank.in.th",NULL,"IN"
"มารีย์อนุสรณ์.th",NULL,"IDN"
