"fulldomain","b_fulldomain","category"
"wallpaper-iphone.in.th",NULL,"IN"
"truewallet.in.th",NULL,"IN"
"emoji.in.th",NULL,"IN"
"restart.in.th",NULL,"IN"
"chantra.in.th",NULL,"IN"
"openbox.in.th","เปิดกล่อง.ไทย","IN"
"qubittech.in.th","คิวบิตเทค.ไทย","IN"
"saiphetsuksaschool.ac.th",NULL,"AC"
"nonsaard.go.th",NULL,"GO"
"kheelek101.ac.th","ขี้หล็กพิทยาคม.ศึกษา.ไทย","AC"
"dsap.co.th","ดอลล่าร์สกรีนแอนด์พริ้นท์.ธุรกิจ.ไทย","CO"
"armcom.in.th",NULL,"IN"
"shibuya.in.th",NULL,"IN"
"sunblock.in.th",NULL,"IN"
"vessuwanconstruction.co.th","เวสสุวรรณคอนสตรัคชั่น.ธุรกิจ.ไทย","CO"
"mangosteems.co.th","แมงโกสทีมส์.ธุรกิจ.ไทย","CO"
"atomy.co.th",NULL,"CO"
"32dentalclinic.co.th",NULL,"CO"
"ableasset.co.th",NULL,"CO"
"packetpower.co.th",NULL,"CO"
"test-idn-test.in.th","เทส-ไอดีเอ็น-เทส.ไทย","IN"
"pramool.in.th",NULL,"IN"
"gpscompany.co.th","จี-พีเอส.ธุรกิจ.ไทย","CO"
"petman.co.th",NULL,"CO"
"thaiconsmax.co.th","ไทยคอนส์แม็กซ์.ธุรกิจ.ไทย","CO"
"youthtravel.co.th","ยูธแทรเวล.ธุรกิจ.ไทย","CO"
"wwrc.co.th",NULL,"CO"
"singmusic.co.th",NULL,"CO"
"kp-waterservice.co.th",NULL,"CO"
"first1000days.or.th","มูลนิธิพันวันแรก.องค์กร.ไทย","OR"
"m2all.co.th",NULL,"CO"
"haiyuan.co.th",NULL,"CO"
"ursulinesth-ur.in.th",NULL,"IN"
"travismachines.co.th","ทราวิสแมชชีนส์.ธุรกิจ.ไทย","CO"
"deltatech.co.th","เดลต้าเทค.ธุรกิจ.ไทย","CO"
"origingate.co.th","ออริจินเกท.ธุรกิจ.ไทย","CO"
"akingroup.co.th",NULL,"CO"
"tqd.co.th",NULL,"CO"
"cbt.ac.th",NULL,"AC"
"winzencorporation.co.th",NULL,"CO"
"foryouall.co.th","ฟอร์ยูออลล์.ธุรกิจ.ไทย","CO"
"dedot.co.th",NULL,"CO"
"smi-trading.co.th",NULL,"CO"
"b-point.in.th",NULL,"IN"
"baiplus168.co.th","ใบพลัส168.ธุรกิจ.ไทย","CO"
"happynozorganic.co.th",NULL,"CO"
"thasainyk.go.th","ท่าทราย.รัฐบาล.ไทย","GO"
"surinpao.in.th",NULL,"IN"
"peoplescape.co.th",NULL,"CO"
"magene.in.th","เอ็มเอจีอีเอ็นอี.ไทย","IN"
"tkmanagement.co.th",NULL,"CO"
"xoss.in.th","เอ็กซ์โอเอสเอส.ไทย","IN"
"stipeo.go.th",NULL,"GO"
"roblox.in.th","โรบล็อกซ์.ไทย","IN"
"modernartisans.co.th","โมเดิร์นอาทิซันส์.ธุรกิจ.ไทย","CO"
"robux.in.th","โรบักซ์.ไทย","IN"
"qdd.in.th",NULL,"IN"
"sarc.co.th",NULL,"CO"
"zenmood.co.th",NULL,"CO"
"modernhub.co.th","โมเดิร์นฮับ.ธุรกิจ.ไทย","CO"
"modernhub.in.th","โมเดิร์นฮับ.ไทย","IN"
"thttech.co.th",NULL,"CO"
"stay.in.th",NULL,"IN"
"biogaia.co.th",NULL,"CO"
"watmanorath.ac.th",NULL,"AC"
"soi.co.th",NULL,"CO"
"lovegood.co.th",NULL,"CO"
"eyecon.co.th","อายคอน.ธุรกิจ.ไทย","CO"
"vichai.in.th","วิชัย.ไทย","IN"
"anna.co.th",NULL,"CO"
"arissa.ac.th",NULL,"AC"
"bkkcanvas.co.th",NULL,"CO"
"g-track.co.th",NULL,"CO"
"divertise.co.th",NULL,"CO"
"valentinegroup.co.th",NULL,"CO"
"hkp.co.th",NULL,"CO"
"nebuchadnezzar.co.th",NULL,"CO"
"nbz.co.th",NULL,"CO"
"banjangwangschool.ac.th",NULL,"AC"
"valheim.in.th",NULL,"IN"
"thb.in.th",NULL,"IN"
"ewallet.in.th",NULL,"IN"
"paiyai.go.th","ไผ่ใหญ่.รัฐบาล.ไทย","GO"
"example.in.th","ตัวอย่าง.ไทย","IN"
"aoneconstruction.co.th",NULL,"CO"
"petchpatthana.in.th",NULL,"IN"
"banraikao.ac.th","โรงเรียนบ้านไร่เก่าสามร้อยยอด.ศึกษา.ไทย","AC"
"pamco.co.th","บริหารสินทรัพย์พหลโยธิน.ธุรกิจ.ไทย","CO"
"novelpropertymanagement.co.th","โนเวลพร็อพเพอร์ตี้แมนเนจเม้นท์.ธุรกิจ.ไทย","CO"
"horothai.in.th",NULL,"IN"
"124house.co.th","124เฮ้าส์.ธุรกิจ.ไทย","CO"
"healthline.in.th",NULL,"IN"
"tokenx.co.th",NULL,"CO"
"cmslab.co.th","ซีเอ็มเอสแล็บ.ธุรกิจ.ไทย","CO"
"cms-lab.co.th","ซีเอ็มเอส-แล็บ.ธุรกิจ.ไทย","CO"
"chan1.ac.th","โรงเรียนเทศบาลเมืองจันทบุรี๑.ศึกษา.ไทย","AC"
"tech11.in.th","เทส11.ไทย","IN"
"aronkasei.co.th",NULL,"CO"
"angelprime.co.th","แองเจิลไพร์ม.ธุรกิจ.ไทย","CO"
"nung.in.th",NULL,"IN"
"push.in.th",NULL,"IN"
"dlt.co.th","ดีลีเทค.ธุรกิจ.ไทย","CO"
"hypercloud.in.th",NULL,"IN"
"tsyd.co.th","ทีเอสวายดี.ธุรกิจ.ไทย","CO"
"padriew.in.th",NULL,"IN"
"tactiva.co.th","แทคติวา.ธุรกิจ.ไทย","CO"
"bnkbrand.co.th",NULL,"CO"
"tpnschool.ac.th","ท่าศาลาประชานุสรณ์.ศึกษา.ไทย","AC"
"pannatattest2.in.th","ปัณณทัตเทส๒.ไทย","IN"
"chinter.co.th","ชินเตอร์.ธุรกิจ.ไทย","CO"
"agoodlife.co.th",NULL,"CO"
"thirayu.in.th","ถิรายุ.ไทย","IN"
"nikhomsongkhro.go.th","เทศบาลตําบลนิคมสงเคราะห์.รัฐบาล.ไทย","GO"
"rohan-th.in.th",NULL,"IN"
"bhw.ac.th",NULL,"AC"
"aquabath.co.th",NULL,"CO"
"bangkokprep.ac.th",NULL,"AC"
"jsauditing.co.th",NULL,"CO"
"oattyclub.in.th","คลับโอ๊ตตี้.ไทย","IN"
"thasalaschool.ac.th",NULL,"AC"
"grooveon.co.th",NULL,"CO"
"mtyw.ac.th",NULL,"AC"
"happyim.in.th","แฮปปี้ไอแอม.ไทย","IN"
"liquidsunrayz.co.th",NULL,"CO"
"ahawa.co.th",NULL,"CO"
"jshopplus.in.th",NULL,"IN"
"wbs.ac.th",NULL,"AC"
"nebulaventures.co.th",NULL,"CO"
"nebulaventures.in.th",NULL,"IN"
"nebula.in.th",NULL,"IN"
"nebula.co.th",NULL,"CO"
"apnea.or.th",NULL,"OR"
"patai.go.th",NULL,"GO"
"sanamdeklen.in.th","สนาม-เด็กเล่น.ไทย","IN"
"360game.in.th",NULL,"IN"
"a2s.co.th",NULL,"CO"
"i-bizsolution.co.th",NULL,"CO"
"nowasol.co.th",NULL,"CO"
"knws.co.th",NULL,"CO"
"aspireamericana.co.th","แอสไปร์อเมริกาน่า.ธุรกิจ.ไทย","CO"
"superapp.in.th",NULL,"IN"
"digitaltwin.in.th","ดิจิทัลทวิน.ไทย","IN"
"termdee.in.th",NULL,"IN"
"evolife.co.th","อีโวไลฟ์.ธุรกิจ.ไทย","CO"
"rptc.ac.th",NULL,"AC"
"lamolnez.co.th","ลาโมเนซ.ธุรกิจ.ไทย","CO"
"an.in.th",NULL,"IN"
"csrcenter.in.th",NULL,"IN"
"suankluai.go.th",NULL,"GO"
"banbangyaisamakkee.ac.th",NULL,"AC"
"freshairfestival.co.th",NULL,"CO"
"mechai.co.th",NULL,"CO"
"sssb.go.th",NULL,"GO"
"onevalence.co.th",NULL,"CO"
"baymera.co.th",NULL,"CO"
"extra.co.th","เอ็กซ์ตร้า.ธุรกิจ.ไทย","CO"
"tyb.co.th",NULL,"CO"
"uni-croc.co.th","ยูนิ-ครอค.ธุรกิจ.ไทย","CO"
"replace.in.th",NULL,"IN"
"bandpmachinery.co.th","บีแอนด์พีแมชชีนเนอรี่.ธุรกิจ.ไทย","CO"
"jwkt.co.th",NULL,"CO"
"prima.co.th",NULL,"CO"
"10.co.th",NULL,"CO"
"uraipark.in.th","อุไรปาร์ค.ไทย","IN"
"suriny.co.th",NULL,"CO"
"dingqi.co.th",NULL,"CO"
"lang.in.th",NULL,"IN"
"happyseasoning.co.th",NULL,"CO"
"ultimicro.co.th",NULL,"CO"
"jinda789.co.th",NULL,"CO"
"jinda789.in.th",NULL,"IN"
"theconnective.co.th",NULL,"CO"
"baanmai.co.th",NULL,"CO"
"thaikyowabio.co.th","ไทยเคียววะไบโอเทคโนโลยีส์.ธุรกิจ.ไทย","CO"
"goodgm.in.th",NULL,"IN"
"dwf-lampang.go.th","ศูนย์เรียนรู้จังหวัดลําปาง.รัฐบาล.ไทย","GO"
"fabio.co.th",NULL,"CO"
"cbd.co.th",NULL,"CO"
"cbdglobal.co.th",NULL,"CO"
"hsk.in.th",NULL,"IN"
"orson.co.th","ออร์สัน.ธุรกิจ.ไทย","CO"
"doparb.go.th",NULL,"GO"
"welcare.co.th",NULL,"CO"
"workable.co.th","เวิร์คเอเบิล.ธุรกิจ.ไทย","CO"
"mrtintertech.co.th",NULL,"CO"
"yachtandusmarine.co.th",NULL,"CO"
"fruitandme.co.th","ฟรุตแอนด์มี.ธุรกิจ.ไทย","CO"
"ash.co.th",NULL,"CO"
"farmfun.in.th",NULL,"IN"
"honghinlocal.go.th","เทศบาลตําบลหงส์หิน.รัฐบาล.ไทย","GO"
"mylovewedding.in.th",NULL,"IN"
"howeathealthy.in.th","ฮาวอีทเฮลตี้.ไทย","IN"
"banthasung.ac.th","บ้านท่าซุง.ศึกษา.ไทย","AC"
"fiseres.in.th",NULL,"IN"
"yeelight.co.th",NULL,"CO"
"bangphra.go.th","บางพระ.รัฐบาล.ไทย","GO"
"taladkae.ac.th","โรงเรียนเทศบาลตลาดแค.ศึกษา.ไทย","AC"
"mbksfs.co.th",NULL,"CO"
"nikhomnamundistrict.go.th",NULL,"GO"
"folkdo.in.th",NULL,"IN"
"pansorn.co.th",NULL,"CO"
"pensionfund.go.th",NULL,"GO"
"anew-property.co.th",NULL,"CO"
"sueangkhao.go.th","อบตเสื่องข้าว.รัฐบาล.ไทย","GO"
"maxbuildingtechnologies.co.th",NULL,"CO"
"v4skin.co.th",NULL,"CO"
"tangburi88.co.th",NULL,"CO"
"audible.in.th",NULL,"IN"
"guidotti.co.th","กุยดอตติ.ธุรกิจ.ไทย","CO"
"sperry.co.th",NULL,"CO"
"mumm.co.th",NULL,"CO"
"worldwide-bazaar.co.th",NULL,"CO"
"instaprotection.co.th",NULL,"CO"
"foreyes.co.th",NULL,"CO"
"enduristan.in.th",NULL,"IN"
"kamnaim.go.th","คําเนียม.รัฐบาล.ไทย","GO"
"nonglek.go.th","อบต-หนองเหล็ก.รัฐบาล.ไทย","GO"
"sys.ac.th",NULL,"AC"
"uncledans.in.th","ลุงแดน.ไทย","IN"
"group3.in.th","กลุ่ม3.ไทย","IN"
"group1.in.th","กลุ่ม1.ไทย","IN"
"group7.in.th","กลุ่ม7.ไทย","IN"
"group0.in.th","กลุ่ม0.ไทย","IN"
"group2.in.th","กลุ่ม2.ไทย","IN"
"group4.in.th","กลุ่ม4.ไทย","IN"
"changkinghealth.co.th",NULL,"CO"
"technicalnetwork.co.th",NULL,"CO"
"boonpitak.in.th",NULL,"IN"
"spirit-it.in.th","สปิริตไอที.ไทย","IN"
"amnetitsolution.co.th",NULL,"CO"
"datamining.co.th",NULL,"CO"
"spm-sk.go.th",NULL,"GO"
"bremic.co.th",NULL,"CO"
"hashbx.in.th","แฮชบีเอ็กซ์.ไทย","IN"
"aicon2019.co.th","เอไอคอนสองพันสิบเก้า.ธุรกิจ.ไทย","CO"
"forexeasy.in.th",NULL,"IN"
"snkrs.in.th",NULL,"IN"
"kr.in.th",NULL,"IN"
"bungnamtao.go.th","บุ่งน้ําเต้า.รัฐบาล.ไทย","GO"
"sooksrangdai.co.th",NULL,"CO"
"realproperty.co.th","เรียลพร็อพเพอร์ตี้.ธุรกิจ.ไทย","CO"
"zeen.co.th",NULL,"CO"
"mindconnect.co.th","มายด์คอนเนคท์.ธุรกิจ.ไทย","CO"
"palurucity.go.th",NULL,"GO"
"nicherry.co.th","นิชเชอรี่.ธุรกิจ.ไทย","CO"
"terminal21rama3.co.th",NULL,"CO"
"grandstation.in.th",NULL,"IN"
"pmghospital.in.th","โรงพยาบาลพีเอ็มจี.ไทย","IN"
"nootri.in.th",NULL,"IN"
"boonma.in.th","บุญมา.ไทย","IN"
"gofundme.in.th",NULL,"IN"
"gofundme.co.th",NULL,"CO"
"saikangmedical.in.th",NULL,"IN"
"itctrading.co.th",NULL,"CO"
"sealspecialist.co.th","ซีลสเปเชียลลิสท์.ธุรกิจ.ไทย","CO"
"pakkhat.ac.th","โรงเรียนปากคาดพิทยาคม.ศึกษา.ไทย","AC"
"naturalpalm.co.th","กลุ่มปาล์มธรรมชาติ.ธุรกิจ.ไทย","CO"
"rungnapa-topland.co.th",NULL,"CO"
"arkgubear.in.th",NULL,"IN"
"sesaskss.go.th",NULL,"GO"
"clinic.in.th",NULL,"IN"
"moreskills.co.th",NULL,"CO"
"seaview.co.th",NULL,"CO"
"sahakornprachanukool.ac.th",NULL,"AC"
"tanya.co.th",NULL,"CO"
"sangpi.go.th",NULL,"GO"
"seapt.go.th",NULL,"GO"
"vpshost.in.th",NULL,"IN"
"nongka-local.go.th",NULL,"GO"
"kengdee.co.th",NULL,"CO"
"anilive.in.th",NULL,"IN"
"watpalocal.go.th","วัดป่า.รัฐบาล.ไทย","GO"
"sirinthornhospital.go.th","โรงพยาบาลสิรินธร.รัฐบาล.ไทย","GO"
"santikaram.ac.th","โรงเรียนวัดสันติการามวิทยา.ศึกษา.ไทย","AC"
"lpptrading.co.th","แอลพีพีเทรดดิ้ง.ธุรกิจ.ไทย","CO"
"oivan.co.th",NULL,"CO"
"thearea.in.th",NULL,"IN"
"mlcc.co.th",NULL,"CO"
"phromthep.go.th","พรมเทพ.รัฐบาล.ไทย","GO"
"infantry1513.go.th","กองพันทหารราบที่3กรมทหารราบที่151.รัฐบาล.ไทย","GO"
"southernhome.co.th","เซ้าเทิร์นโฮม.ธุรกิจ.ไทย","CO"
"research-spsm.in.th","รีเซิร์ช-เอสพีเอสเอ็ม.ไทย","IN"
"artist.in.th","ศิลปินแห่งชาติ.ไทย","IN"
"culture.in.th","กรมส่งเสริมวัฒนธรรม.ไทย","IN"
"chedevelopment.co.th",NULL,"CO"
"maxivoyage.co.th","แม็คซี่โวยาจ.ธุรกิจ.ไทย","CO"
"pupamork.go.th","อบตภูผาหมอก.รัฐบาล.ไทย","GO"
"syncspace.co.th",NULL,"CO"
"boffice.co.th",NULL,"CO"
"bnwschool.ac.th","บ้านหนองแวงขอนแก่น.ศึกษา.ไทย","AC"
"kpschool.ac.th","โรงเรียนโคกสว่างประชาสรรค์.ศึกษา.ไทย","AC"
"solarplus.in.th",NULL,"IN"
"leanmore.in.th","ลีนมอร์.ไทย","IN"
"sarub.in.th",NULL,"IN"
"prayuen.ac.th",NULL,"AC"
"nhc.co.th","นาสท์ด้าโฮลดิ้ง.ธุรกิจ.ไทย","CO"
"group8.in.th","กลุ่ม8.ไทย","IN"
"thonglorproduct.co.th","ทองหล่อโปรดักส์.ธุรกิจ.ไทย","CO"
"whiteline.co.th",NULL,"CO"
"horecabarshop.co.th",NULL,"CO"
"rukshop.in.th",NULL,"IN"
"contact.in.th",NULL,"IN"
"hf.in.th","เอชเอฟ.ไทย","IN"
"foodcode.in.th","โค๊ดอาหาร.ไทย","IN"
"softlogicgroup.co.th",NULL,"CO"
"ban-ueang.go.th",NULL,"GO"
"vegapaint.co.th",NULL,"CO"
"magnoliatravel.co.th",NULL,"CO"
"wsp.go.th","วังทรายพูน.รัฐบาล.ไทย","GO"
"timetraveler.co.th",NULL,"CO"
"proprintpack.co.th",NULL,"CO"
"edudev.in.th",NULL,"IN"
"unixq.co.th","ยูนิกซ์คิว.ธุรกิจ.ไทย","CO"
"seafood.in.th",NULL,"IN"
"sapappsthailand.co.th",NULL,"CO"
"khuyaimi.go.th","คู้ยายหมี.รัฐบาล.ไทย","GO"
"cryptomaster.co.th",NULL,"CO"
"luckycode.in.th","ลัคกี้โค้ด.ไทย","IN"
"tpge.co.th",NULL,"CO"
"gregarious.co.th","กริแกเรียส.ธุรกิจ.ไทย","CO"
"goodfull.co.th",NULL,"CO"
"intranetrev.in.th",NULL,"IN"
"carmenta.co.th","คาร์เมนต้า.ธุรกิจ.ไทย","CO"
"siamqueenpower.co.th",NULL,"CO"
"jdtech.co.th",NULL,"CO"
"sth-aton.co.th","เอสทีเอชอะ-ตอน.ธุรกิจ.ไทย","CO"
"mnglaboratory.co.th",NULL,"CO"
"starrate.co.th",NULL,"CO"
"nakhonthai.ac.th","โรงเรียนนครไทย.ศึกษา.ไทย","AC"
"get.in.th","เก็ต.ไทย","IN"
"used.in.th","ยูส.ไทย","IN"
"kpccarton.co.th","เคพีซีคาร์ตัน.ธุรกิจ.ไทย","CO"
"propertyscout.co.th",NULL,"CO"
"goodseal.in.th",NULL,"IN"
"nabtesco-npwt.co.th","แน็บเทสโก้.ธุรกิจ.ไทย","CO"
"sakaeschool.ac.th",NULL,"AC"
"laoluang101.go.th",NULL,"GO"
"atmc.in.th",NULL,"IN"
"sunpower-en.co.th",NULL,"CO"
"edwish.co.th","เอ็ดวิช.ธุรกิจ.ไทย","CO"
"kjtn.co.th",NULL,"CO"
"lovestore.in.th","เลิฟสโตร์.ไทย","IN"
"papermarche.in.th",NULL,"IN"
"ribv.co.th",NULL,"CO"
"captaincash.co.th",NULL,"CO"
"htindustrial.co.th",NULL,"CO"
"rstglobal.co.th",NULL,"CO"
"goldberry.co.th","โกลด์เบอร์รี่.ธุรกิจ.ไทย","CO"
"firepumps.in.th",NULL,"IN"
"megapaint.co.th",NULL,"CO"
"npaconstruction.co.th",NULL,"CO"
"bugaboo.in.th","บักกาบู.ไทย","IN"
"daytech.co.th",NULL,"CO"
"srisawang-roiet.go.th","อบตศรีสว่าง.รัฐบาล.ไทย","GO"
"cqp.co.th",NULL,"CO"
"alphacore.co.th",NULL,"CO"
"wangsri.ac.th",NULL,"AC"
"banpatanschool.ac.th",NULL,"AC"
"sobkru101.in.th",NULL,"IN"
"sdtechnology.co.th",NULL,"CO"
"winandwin.co.th","วินแอนด์วิน.ธุรกิจ.ไทย","CO"
"hotelier.in.th","เจ้าของโรงแรม.ไทย","IN"
"difs.co.th","ไดมอนด์เฟรท.ธุรกิจ.ไทย","CO"
"res.co.th",NULL,"CO"
"nakaenakhon.go.th","องค์การบริหารส่วนตําบลนาแก.รัฐบาล.ไทย","GO"
"tas.ac.th","บ้านทุ่งอ่าง.ศึกษา.ไทย","AC"
"warning.in.th","คําเตือน.ไทย","IN"
"mscw.co.th","เอ็มเอสซีดับเบิลยู.ธุรกิจ.ไทย","CO"
"premiumbeef.co.th",NULL,"CO"
"acsg.co.th","เอซีเอสจี.ธุรกิจ.ไทย","CO"
"wilcon.co.th","วิล-คอน.ธุรกิจ.ไทย","CO"
"richmortal.co.th",NULL,"CO"
"doublewit.co.th",NULL,"CO"
"cptower.co.th","ซีพีทาวเวอร์.ธุรกิจ.ไทย","CO"
"grifols.co.th",NULL,"CO"
"fix.in.th","ซ่อม.ไทย","IN"
"tamdham.in.th","ธามธรรม.ไทย","IN"
"aisfibre5g.in.th","เอไอเอสไฟเบอร์5จี.ไทย","IN"
"beer.in.th",NULL,"IN"
"providerglasstech.co.th",NULL,"CO"
"globalhealing.in.th",NULL,"IN"
"wdp.co.th",NULL,"CO"
"tssda.or.th","สมาคมพัฒนาสเตนเลสไทย.องค์กร.ไทย","OR"
"csr-chaiudomsup.co.th",NULL,"CO"
"northandfitness-itservice.in.th","นอร์ทแอนด์ฟิตเนส-ไอทีเซอร์วิส.ไทย","IN"
"otaonline.co.th",NULL,"CO"
"dexstep.co.th","เดกซ์สเต็ป.ธุรกิจ.ไทย","CO"
"jewelland.in.th",NULL,"IN"
"vppw.co.th",NULL,"CO"
"solisenergy.co.th",NULL,"CO"
"linkbuilding.in.th",NULL,"IN"
"weinsure.in.th",NULL,"IN"
"secondarytak.go.th",NULL,"GO"
"globalguard.co.th",NULL,"CO"
"group5.in.th","กลุ่ม5.ไทย","IN"
"watthakan.ac.th",NULL,"AC"
"group6.in.th","กลุ่ม6.ไทย","IN"
"thaifinefoods.co.th",NULL,"CO"
"idemgroup.co.th",NULL,"CO"
"frudia.in.th","ฟรูเดีย.ไทย","IN"
"gp4.co.th",NULL,"CO"
"samaphanairsupply.co.th",NULL,"CO"
"samaphanengineering.co.th",NULL,"CO"
"ton-omnoi.ac.th","โรงเรียนเทศบาลอ้อมน้อย.ศึกษา.ไทย","AC"
"sna.co.th",NULL,"CO"
"maxbuild.co.th",NULL,"CO"
"loveself.in.th",NULL,"IN"
"theradicalone.co.th",NULL,"CO"
"ssgm.co.th",NULL,"CO"
"spmcommercial.co.th","เอสพีเอ็มคอมเมอร์เชียล.ธุรกิจ.ไทย","CO"
"sesapy.go.th",NULL,"GO"
"yuanskincare.in.th","หยวนสกินแคร์.ไทย","IN"
"spoly.co.th","เอสโพลี.ธุรกิจ.ไทย","CO"
"dulrapee.co.th",NULL,"CO"
"gliholding.co.th",NULL,"CO"
"mmthailand.co.th","เอ็มเอ็มไทยแลนด์.ธุรกิจ.ไทย","CO"
"megamarketthailand.co.th","เมก้ามาร์เก็ตไทยแลนด์.ธุรกิจ.ไทย","CO"
"luewit.ac.th",NULL,"AC"
"torrong.co.th","ต่อรอง.ธุรกิจ.ไทย","CO"
"wingagency.co.th",NULL,"CO"
"scum.in.th","สคัม.ไทย","IN"
"t1pkd.ac.th",NULL,"AC"
"pmg.in.th","พีเอ็มจี.ไทย","IN"
"pxpt.co.th",NULL,"CO"
"neaka.co.th","นีเอก้า.ธุรกิจ.ไทย","CO"
"group9.in.th","กลุ่ม9.ไทย","IN"
"ee.in.th","อีอี.ไทย","IN"
"lddcoop.or.th",NULL,"OR"
"banmaikhonkaen.go.th",NULL,"GO"
"hvm.co.th","เอชวีแมชชีนเนอรี่.ธุรกิจ.ไทย","CO"
"terminalp.co.th","เทอร์มินอลพี.ธุรกิจ.ไทย","CO"
"channam.co.th","ชั้นนํา.ธุรกิจ.ไทย","CO"
"chumchonwatsadet.ac.th",NULL,"AC"
"drburapha.in.th",NULL,"IN"
"sinpunsurat.ac.th",NULL,"AC"
"tnw.in.th","ทีเอ็นดับบลิว.ไทย","IN"
"digitalsi.co.th","ดิจิตอลเอสไอ.ธุรกิจ.ไทย","CO"
"namjai.in.th","น้ําใจ.ไทย","IN"
"fireking.co.th",NULL,"CO"
"saypay.in.th","สายเปย์.ไทย","IN"
"gamemaker.in.th","สร้างเกม.ไทย","IN"
"dongyai.go.th","อบต-ดงใหญ่.รัฐบาล.ไทย","GO"
"organicfoods.in.th",NULL,"IN"
"jckutilities.co.th",NULL,"CO"
"bikeandrun.in.th","ปั่นวิ่ง.ไทย","IN"
"cosmedi.co.th",NULL,"CO"
"drivesoft.co.th",NULL,"CO"
"vithahc.co.th",NULL,"CO"
"alliedfilter.co.th",NULL,"CO"
"masengineering.co.th",NULL,"CO"
"flixa.in.th",NULL,"IN"
"babytattoo.co.th",NULL,"CO"
"erponline.in.th","อีอาร์พีออนไลน์.ไทย","IN"
"calbeepromotion.in.th",NULL,"IN"
"madamtoilet.co.th",NULL,"CO"
"wccon.co.th",NULL,"CO"
"atlaslogistics.co.th",NULL,"CO"
"v-planta.in.th",NULL,"IN"
"kormoon.in.th","ข้อมูล.ไทย","IN"
"statistic.in.th","สถิติ.ไทย","IN"
"artmulet.co.th",NULL,"CO"
"kingwater2017.co.th",NULL,"CO"
"be1digital.co.th",NULL,"CO"
"lumel.in.th",NULL,"IN"
"interviva.co.th",NULL,"CO"
"inext.co.th","ไอเน็กซ์บรอดแบนด์.ธุรกิจ.ไทย","CO"
"amds.ac.th",NULL,"AC"
"cannabishub.in.th",NULL,"IN"
"sss.in.th",NULL,"IN"
"bangkhenchai.co.th",NULL,"CO"
"wnpt.ac.th","โรงเรียนวัดหน้าพระธาตุ.ศึกษา.ไทย","AC"
"fishogroup.co.th","ฟิชโชกรุ๊ป.ธุรกิจ.ไทย","CO"
"bystonic.co.th",NULL,"CO"
"rungrueang-design-and-develop.co.th","รุ่งเรืองดีไซน์แอนด์ดีเวลลอป.ธุรกิจ.ไทย","CO"
"nfesg.ac.th",NULL,"AC"
"stratus.co.th",NULL,"CO"
"kudway.go.th","กุดหวาย.รัฐบาล.ไทย","GO"
"chokchaiconsult.co.th",NULL,"CO"
"holidays.in.th","วันหยุด.ไทย","IN"
"nongwaeng.go.th",NULL,"GO"
"cannag.co.th","คานนาจี.ธุรกิจ.ไทย","CO"
"ksk-rs.co.th","เคเอสเค-รีไควร์เม้นท์แอนด์เซอร์วิส.ธุรกิจ.ไทย","CO"
"pmax-energy.co.th",NULL,"CO"
"tourtravelthai.in.th","ทัวร์เที่ยวไทย.ไทย","IN"
"tourtravel.in.th","ทัวร์เที่ยว.ไทย","IN"
"itrans.co.th",NULL,"CO"
"saxy.in.th","เซ็กซี่.ไทย","IN"
"thairungkit.co.th",NULL,"CO"
"nongmaetaeng.go.th","หนองแม่แตง.รัฐบาล.ไทย","GO"
"gnrgroup.co.th",NULL,"CO"
"ddi.co.th",NULL,"CO"
"svn.ac.th",NULL,"AC"
"bluegold.co.th","บลูโกลด์.ธุรกิจ.ไทย","CO"
"frecoasia.co.th",NULL,"CO"
"robinsons.in.th",NULL,"IN"
"idols.co.th","ไอดอลส์.ธุรกิจ.ไทย","CO"
"moneyplan.in.th","วางแผนเงิน.ไทย","IN"
"sribuabanlamphun.go.th",NULL,"GO"
"arinsiri.co.th","อรินสิริ.ธุรกิจ.ไทย","CO"
"tsfdevelopment.co.th",NULL,"CO"
"rbj.co.th",NULL,"CO"
"andthailand.co.th",NULL,"CO"
"tianguangdavidtan.in.th",NULL,"IN"
"fyaathai.or.th",NULL,"OR"
"prozon.co.th",NULL,"CO"
"reansin.co.th","เรียนศิลป์.ธุรกิจ.ไทย","CO"
"genspace.co.th",NULL,"CO"
"banchanglang.ac.th",NULL,"AC"
"banpruyai.ac.th",NULL,"AC"
"profess-pam.co.th","โปรเฟสแอสเสท.ธุรกิจ.ไทย","CO"
"initsoft.in.th",NULL,"IN"
"tn.co.th","ทีเอ็น.ธุรกิจ.ไทย","CO"
"wanghinlad.go.th",NULL,"GO"
"rss.in.th",NULL,"IN"
"rainbow.co.th",NULL,"CO"
"protect.co.th",NULL,"CO"
"happybirthday.in.th","แฮปปีเบิร์ดเดย์.ไทย","IN"
"stainlessdesigns.co.th",NULL,"CO"
"hakon.co.th",NULL,"CO"
"akterrace.co.th",NULL,"CO"
"atlantis.co.th",NULL,"CO"
"saimaii.co.th",NULL,"CO"
"yuasath.co.th",NULL,"CO"
"bhealth.co.th","บฮ.ธุรกิจ.ไทย","CO"
"property-thailand.in.th",NULL,"IN"
"chanikorn.co.th",NULL,"CO"
"sfl.co.th",NULL,"CO"
"plantology.co.th",NULL,"CO"
"termiticide.in.th",NULL,"IN"
"hec.or.th",NULL,"OR"
"baimaiphli.co.th",NULL,"CO"
"jindamanee.in.th","จินดามณี.ไทย","IN"
"proppit.co.th",NULL,"CO"
